date,load
2019/5/6 4:00,4987.71
2019/5/6 4:30,4994.75
2019/5/6 5:00,5022.13
2019/5/6 5:30,5110.51
2019/5/6 6:00,5177.31
2019/5/6 6:30,5234.62
2019/5/6 7:00,5326.7
2019/5/6 7:30,5311.65
2019/5/6 8:00,5230.2
2019/5/6 8:30,5167.35
2019/5/6 9:00,5085.95
2019/5/6 9:30,4971.11
2019/5/6 10:00,4885.72
2019/5/6 10:30,4752.54
2019/5/6 11:00,4629.18
2019/5/6 11:30,4578.55
2019/5/6 12:00,4620.65
2019/5/6 12:30,4620.21
2019/5/6 13:00,4650.92
2019/5/6 13:30,4692.95
2019/5/6 14:00,4788.12
2019/5/6 14:30,4944.98
2019/5/6 15:00,5121.79
2019/5/6 15:30,5368.68
2019/5/6 16:00,5646.45
2019/5/6 16:30,5994.15
2019/5/6 17:00,6299.57
2019/5/6 17:30,6539.73
2019/5/6 18:00,6824.16
2019/5/6 18:30,6872.32
2019/5/6 19:00,6801.62
2019/5/6 19:30,6615.78
2019/5/6 20:00,6540.69
2019/5/6 20:30,6490.79
2019/5/6 21:00,6294.62
2019/5/6 21:30,6177.87
2019/5/6 22:00,6014.01
2019/5/6 22:30,5918.91
2019/5/6 23:00,5831.78
2019/5/6 23:30,5680.31
2019/5/7 0:00,5503.06
2019/5/7 0:30,5335.76
2019/5/7 1:00,5205.32
2019/5/7 1:30,5113.57
2019/5/7 2:00,5043.62
2019/5/7 2:30,5037.51
2019/5/7 3:00,5014.84
2019/5/7 3:30,4995.53
2019/5/7 4:00,5018.55
2019/5/7 4:30,5084.37
2019/5/7 5:00,5137.66
2019/5/7 5:30,5368.77
2019/5/7 6:00,5606.59
2019/5/7 6:30,5929.7
2019/5/7 7:00,6157.58
2019/5/7 7:30,6375.82
2019/5/7 8:00,6312.42
2019/5/7 8:30,6008.56
2019/5/7 9:00,5764.75
2019/5/7 9:30,5630.23
2019/5/7 10:00,5498.62
2019/5/7 10:30,5381.55
2019/5/7 11:00,5337.91
2019/5/7 11:30,5325.38
2019/5/7 12:00,5290.65
2019/5/7 12:30,5342.51
2019/5/7 13:00,5357.91
2019/5/7 13:30,5412.98
2019/5/7 14:00,5548.32
2019/5/7 14:30,5677.82
2019/5/7 15:00,5832.64
2019/5/7 15:30,6015.82
2019/5/7 16:00,6284.48
2019/5/7 16:30,6467.3
2019/5/7 17:00,6732.62
2019/5/7 17:30,6954.1
2019/5/7 18:00,7138.46
2019/5/7 18:30,7170.33
2019/5/7 19:00,7161.24
2019/5/7 19:30,7021.32
2019/5/7 20:00,6941.68
2019/5/7 20:30,6790.38
2019/5/7 21:00,6583.75
2019/5/7 21:30,6470.7
2019/5/7 22:00,6298.71
2019/5/7 22:30,6179.44
2019/5/7 23:00,6040.04
2019/5/7 23:30,5843.54
2019/5/8 0:00,5625.46
2019/5/8 0:30,5479.56
2019/5/8 1:00,5370.6
2019/5/8 1:30,5291.37
2019/5/8 2:00,5236.93
2019/5/8 2:30,5143.45
2019/5/8 3:00,5126.78
2019/5/8 3:30,5135.03
2019/5/8 4:00,5154.92
2019/5/8 4:30,5252.97
2019/5/8 5:00,5344.49
2019/5/8 5:30,5546.11
2019/5/8 6:00,5748.6
2019/5/8 6:30,6056.67
2019/5/8 7:00,6373.39
2019/5/8 7:30,6549.28
2019/5/8 8:00,6418.53
2019/5/8 8:30,6137.96
2019/5/8 9:00,5892.76
2019/5/8 9:30,5759.09
2019/5/8 10:00,5668.35
2019/5/8 10:30,5534.89
2019/5/8 11:00,5484.76
2019/5/8 11:30,5463.88
2019/5/8 12:00,5501.37
2019/5/8 12:30,5528.21
2019/5/8 13:00,5554.15
2019/5/8 13:30,5635.16
2019/5/8 14:00,5751.31
2019/5/8 14:30,5897.97
2019/5/8 15:00,6038.02
2019/5/8 15:30,6255.08
2019/5/8 16:00,6442.44
2019/5/8 16:30,6658.32
2019/5/8 17:00,6931.8
2019/5/8 17:30,7080.65
2019/5/8 18:00,7231.07
2019/5/8 18:30,7212.85
2019/5/8 19:00,7179.5
2019/5/8 19:30,6982.31
2019/5/8 20:00,6959.07
2019/5/8 20:30,6842.48
2019/5/8 21:00,6685.5
2019/5/8 21:30,6499.83
2019/5/8 22:00,6305.02
2019/5/8 22:30,6171.65
2019/5/8 23:00,6091.14
2019/5/8 23:30,5876.79
2019/5/9 0:00,5683.98
2019/5/9 0:30,5543.36
2019/5/9 1:00,5353.05
2019/5/9 1:30,5270.19
2019/5/9 2:00,5211.6
2019/5/9 2:30,5207.44
2019/5/9 3:00,5171.01
2019/5/9 3:30,5159.84
2019/5/9 4:00,5195.31
2019/5/9 4:30,5261.01
2019/5/9 5:00,5383.72
2019/5/9 5:30,5605.65
2019/5/9 6:00,5779.44
2019/5/9 6:30,6117.8
2019/5/9 7:00,6399.57
2019/5/9 7:30,6559.15
2019/5/9 8:00,6399.57
2019/5/9 8:30,6135.55
2019/5/9 9:00,5897.04
2019/5/9 9:30,5686.44
2019/5/9 10:00,5577.05
2019/5/9 10:30,5488.32
2019/5/9 11:00,5432.5
2019/5/9 11:30,5432.46
2019/5/9 12:00,5389.77
2019/5/9 12:30,5483.91
2019/5/9 13:00,5513.39
2019/5/9 13:30,5583.96
2019/5/9 14:00,5757.85
2019/5/9 14:30,5887.31
2019/5/9 15:00,6029.96
2019/5/9 15:30,6182.15
2019/5/9 16:00,6410.96
2019/5/9 16:30,6610.5
2019/5/9 17:00,6846.47
2019/5/9 17:30,6976.67
2019/5/9 18:00,7192.57
2019/5/9 18:30,7254.07
2019/5/9 19:00,7248.33
2019/5/9 19:30,7105.72
2019/5/9 20:00,6997.8
2019/5/9 20:30,6873.84
2019/5/9 21:00,6741.65
2019/5/9 21:30,6548.48
2019/5/9 22:00,6445.7
2019/5/9 22:30,6305.06
2019/5/9 23:00,6223.42
2019/5/9 23:30,6017.67
2019/5/10 0:00,5774.37
2019/5/10 0:30,5579.28
2019/5/10 1:00,5402.8
2019/5/10 1:30,5314.92
2019/5/10 2:00,5242.12
2019/5/10 2:30,5215.51
2019/5/10 3:00,5191.88
2019/5/10 3:30,5205.56
2019/5/10 4:00,5216.38
2019/5/10 4:30,5289.44
2019/5/10 5:00,5383.92
2019/5/10 5:30,5569.97
2019/5/10 6:00,5767.36
2019/5/10 6:30,6120.67
2019/5/10 7:00,6478.74
2019/5/10 7:30,6696.09
2019/5/10 8:00,6624.31
2019/5/10 8:30,6493.41
2019/5/10 9:00,6369.26
2019/5/10 9:30,6282.02
2019/5/10 10:00,6159.66
2019/5/10 10:30,6261.08
2019/5/10 11:00,6203.54
2019/5/10 11:30,6133.4
2019/5/10 12:00,6014.11
2019/5/10 12:30,5978.47
2019/5/10 13:00,5996.95
2019/5/10 13:30,6172.83
2019/5/10 14:00,6327.9
2019/5/10 14:30,6392.39
2019/5/10 15:00,6521.66
2019/5/10 15:30,6676.35
2019/5/10 16:00,6823.3
2019/5/10 16:30,6909.65
2019/5/10 17:00,7058.74
2019/5/10 17:30,7180.82
2019/5/10 18:00,7304.21
2019/5/10 18:30,7250.6
2019/5/10 19:00,7173.87
2019/5/10 19:30,7056.28
2019/5/10 20:00,6945.42
2019/5/10 20:30,6831.15
2019/5/10 21:00,6659.97
2019/5/10 21:30,6573.34
2019/5/10 22:00,6420.49
2019/5/10 22:30,6367.63
2019/5/10 23:00,6228.68
2019/5/10 23:30,6017.94
2019/5/11 0:00,5764.08
2019/5/11 0:30,5583.12
2019/5/11 1:00,5425.24
2019/5/11 1:30,5345.63
2019/5/11 2:00,5247.25
2019/5/11 2:30,5203.64
2019/5/11 3:00,5208.55
2019/5/11 3:30,5172.69
2019/5/11 4:00,5141.05
2019/5/11 4:30,5214.97
2019/5/11 5:00,5228.87
2019/5/11 5:30,5328.72
2019/5/11 6:00,5439.31
2019/5/11 6:30,5578.1
2019/5/11 7:00,5662.73
2019/5/11 7:30,5759.46
2019/5/11 8:00,5741.29
2019/5/11 8:30,5693.81
2019/5/11 9:00,5542.33
2019/5/11 9:30,5376.05
2019/5/11 10:00,5205.76
2019/5/11 10:30,5037.19
2019/5/11 11:00,4898.03
2019/5/11 11:30,4835.78
2019/5/11 12:00,4776.71
2019/5/11 12:30,4782.18
2019/5/11 13:00,4790.87
2019/5/11 13:30,4861.93
2019/5/11 14:00,4999.5
2019/5/11 14:30,5076.48
2019/5/11 15:00,5256.85
2019/5/11 15:30,5467.2
2019/5/11 16:00,5687.26
2019/5/11 16:30,6015.83
2019/5/11 17:00,6300.2
2019/5/11 17:30,6544.03
2019/5/11 18:00,6778.09
2019/5/11 18:30,6774
2019/5/11 19:00,6754.92
2019/5/11 19:30,6646.28
2019/5/11 20:00,6575.5
2019/5/11 20:30,6502.38
2019/5/11 21:00,6365.11
2019/5/11 21:30,6286.93
2019/5/11 22:00,6186.84
2019/5/11 22:30,6132.36
2019/5/11 23:00,6076.05
2019/5/11 23:30,5858.15
2019/5/12 0:00,5679.57
2019/5/12 0:30,5507.29
2019/5/12 1:00,5359.33
2019/5/12 1:30,5243.94
2019/5/12 2:00,5169.9
2019/5/12 2:30,5134.96
2019/5/12 3:00,5112.43
2019/5/12 3:30,5098.83
2019/5/12 4:00,5089.05
2019/5/12 4:30,5099.9
2019/5/12 5:00,5141.69
2019/5/12 5:30,5211.06
2019/5/12 6:00,5260.47
2019/5/12 6:30,5353.86
2019/5/12 7:00,5452.25
2019/5/12 7:30,5600.66
2019/5/12 8:00,5620.71
