date,load
2020/5/2 0:00,5594.47
2020/5/2 0:30,5457.9
2020/5/2 1:00,5349.51
2020/5/2 1:30,5264.31
2020/5/2 2:00,5178.43
2020/5/2 2:30,5137.75
2020/5/2 3:00,5123.47
2020/5/2 3:30,5110.47
2020/5/2 4:00,5101.65
2020/5/2 4:30,5124.02
2020/5/2 5:00,5109.77
2020/5/2 5:30,5234.75
2020/5/2 6:00,5256.01
2020/5/2 6:30,5311.65
2020/5/2 7:00,5397.97
2020/5/2 7:30,5380.15
2020/5/2 8:00,5261.26
2020/5/2 8:30,5188.93
2020/5/2 9:00,5028.05
2020/5/2 9:30,4891.26
2020/5/2 10:00,4796.67
2020/5/2 10:30,4628.83
2020/5/2 11:00,4476.41
2020/5/2 11:30,4340.76
2020/5/2 12:00,4347.58
2020/5/2 12:30,4353.39
2020/5/2 13:00,4388.82
2020/5/2 13:30,4453.01
2020/5/2 14:00,4612.81
2020/5/2 14:30,4792.97
2020/5/2 15:00,4982.27
2020/5/2 15:30,5236.91
2020/5/2 16:00,5548.12
2020/5/2 16:30,5900.65
2020/5/2 17:00,6179.14
2020/5/2 17:30,6430
2020/5/2 18:00,6695.78
2020/5/2 18:30,6751.77
2020/5/2 19:00,6682.77
2020/5/2 19:30,6521.9
2020/5/2 20:00,6459.56
2020/5/2 20:30,6349.84
2020/5/2 21:00,6157.78
2020/5/2 21:30,6053.29
2020/5/2 22:00,5927.16
2020/5/2 22:30,5900.68
2020/5/2 23:00,5824.65
2020/5/2 23:30,5611.71
2020/5/3 0:00,5469.27
2020/5/3 0:30,5359.85
2020/5/3 1:00,5234.28
2020/5/3 1:30,5129.47
2020/5/3 2:00,5081.9
2020/5/3 2:30,5073.58
2020/5/3 3:00,5015.19
2020/5/3 3:30,4973.58
2020/5/3 4:00,4977.7
2020/5/3 4:30,5014.27
2020/5/3 5:00,5036.28
2020/5/3 5:30,5095.07
2020/5/3 6:00,5066.34
2020/5/3 6:30,5156.77
2020/5/3 7:00,5174.52
2020/5/3 7:30,5148.07
2020/5/3 8:00,5073.79
2020/5/3 8:30,5011.68
2020/5/3 9:00,4911.84
2020/5/3 9:30,4753.16
2020/5/3 10:00,4660.92
2020/5/3 10:30,4531.94
2020/5/3 11:00,4418.06
2020/5/3 11:30,4294.95
2020/5/3 12:00,4293.61
2020/5/3 12:30,4287.62
2020/5/3 13:00,4340.42
2020/5/3 13:30,4359.67
2020/5/3 14:00,4504.65
2020/5/3 14:30,4665.06
2020/5/3 15:00,4885.56
2020/5/3 15:30,5143.36
2020/5/3 16:00,5454.23
2020/5/3 16:30,5756.14
2020/5/3 17:00,6116.34
2020/5/3 17:30,6411.89
2020/5/3 18:00,6723.57
2020/5/3 18:30,6746.09
2020/5/3 19:00,6646.52
2020/5/3 19:30,6492.74
2020/5/3 20:00,6398.12
2020/5/3 20:30,6303.12
2020/5/3 21:00,6141.3
2020/5/3 21:30,6013.37
2020/5/3 22:00,5932.58
2020/5/3 22:30,5916.61
2020/5/3 23:00,5843.15
2020/5/3 23:30,5676.32
2020/5/4 0:00,5535.91
2020/5/4 0:30,5392.27
2020/5/4 1:00,5283.76
2020/5/4 1:30,5180.57
2020/5/4 2:00,5112.3
2020/5/4 2:30,5084.79
2020/5/4 3:00,5031.1
2020/5/4 3:30,5012.39
2020/5/4 4:00,4973.6
2020/5/4 4:30,5021.43
2020/5/4 5:00,5046.01
2020/5/4 5:30,5088.76
2020/5/4 6:00,5145.57
2020/5/4 6:30,5228.63
2020/5/4 7:00,5249.39
2020/5/4 7:30,5278.74
2020/5/4 8:00,5174.03
2020/5/4 8:30,5139.97
